on 0: Entering translator loop...
on 0: {'channel': 211, 'bx': 1005, 'tdc': 15, 'link': 10}
on 1: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 10}
on 2: {'channel': 215, 'bx': 1005, 'tdc': 14, 'link': 10}
on 3: {'channel': 95, 'bx': 1005, 'tdc': 10, 'link': 10}
on 4: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 10}
on 5: {'channel': 99, 'bx': 1005, 'tdc': 14, 'link': 10}
on 6: {'channel': 31, 'bx': 1005, 'tdc': 17, 'link': 10}
on 7: {'channel': 155, 'bx': 1005, 'tdc': 14, 'link': 10}
on 8: {'channel': 35, 'bx': 1005, 'tdc': 16, 'link': 10}
on 9: {'channel': 159, 'bx': 1005, 'tdc': 11, 'link': 10}
on 10: {'channel': 39, 'bx': 1005, 'tdc': 15, 'link': 10}
on 11: {'channel': 123, 'bx': 1005, 'tdc': 14, 'link': 10}
on 12: {'channel': 215, 'bx': 1005, 'tdc': 14, 'link': 11}
on 13: {'channel': 95, 'bx': 1005, 'tdc': 10, 'link': 11}
on 14: {'channel': 31, 'bx': 1005, 'tdc': 17, 'link': 11}
on 15: {'channel': 155, 'bx': 1005, 'tdc': 14, 'link': 11}
on 16: {'channel': 35, 'bx': 1005, 'tdc': 16, 'link': 11}
on 17: {'channel': 159, 'bx': 1005, 'tdc': 11, 'link': 11}
on 18: {'channel': 39, 'bx': 1005, 'tdc': 15, 'link': 11}
on 19: {'channel': 123, 'bx': 1005, 'tdc': 14, 'link': 11}
on 20: {'channel': 3, 'bx': 1005, 'tdc': 14, 'link': 11}
on 21: {'channel': 127, 'bx': 1005, 'tdc': 16, 'link': 11}
on 22: {'channel': 7, 'bx': 1005, 'tdc': 15, 'link': 11}
on 23: {'channel': 131, 'bx': 1005, 'tdc': 15, 'link': 11}
on 24: {'channel': 11, 'bx': 1005, 'tdc': 14, 'link': 11}
on 25: {'channel': 135, 'bx': 1005, 'tdc': 12, 'link': 11}
on 26: {'channel': 204, 'bx': 1005, 'tdc': 11, 'link': 9}
on 27: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 9}
on 28: {'channel': 3, 'bx': 1005, 'tdc': 14, 'link': 10}
on 29: {'channel': 127, 'bx': 1005, 'tdc': 16, 'link': 10}
on 30: {'channel': 215, 'bx': 1005, 'tdc': 13, 'link': 11}
on 31: {'channel': 215, 'bx': 1005, 'tdc': 13, 'link': 9}
on 32: {'channel': 215, 'bx': 1005, 'tdc': 13, 'link': 10}
on 33: {'channel': 95, 'bx': 1005, 'tdc': 11, 'link': 10}
on 34: {'channel': 95, 'bx': 1005, 'tdc': 11, 'link': 11}
on 35: {'channel': 219, 'bx': 1005, 'tdc': 12, 'link': 11}
on 36: {'channel': 95, 'bx': 1005, 'tdc': 11, 'link': 9}
on 37: {'channel': 219, 'bx': 1005, 'tdc': 12, 'link': 9}
on 38: {'channel': 99, 'bx': 1005, 'tdc': 13, 'link': 9}
on 39: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 9}
on 40: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 9}
on 41: {'channel': 227, 'bx': 1005, 'tdc': 16, 'link': 9}
on 42: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 9}
on 43: {'channel': 203, 'bx': 1005, 'tdc': 16, 'link': 9}
on 44: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 9}
on 45: {'channel': 207, 'bx': 1005, 'tdc': 10, 'link': 9}
on 46: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 9}
on 47: {'channel': 211, 'bx': 1005, 'tdc': 15, 'link': 9}
on 48: {'channel': 119, 'bx': 1005, 'tdc': 15, 'link': 9}
on 49: {'channel': 212, 'bx': 1005, 'tdc': 14, 'link': 9}
on 50: {'channel': 83, 'bx': 1005, 'tdc': 12, 'link': 9}
on 51: {'channel': 216, 'bx': 1005, 'tdc': 15, 'link': 9}
on 52: {'channel': 219, 'bx': 1005, 'tdc': 12, 'link': 10}
on 53: {'channel': 99, 'bx': 1005, 'tdc': 13, 'link': 10}
on 54: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 10}
on 55: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 10}
on 56: {'channel': 227, 'bx': 1005, 'tdc': 16, 'link': 10}
on 57: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 10}
on 58: {'channel': 203, 'bx': 1005, 'tdc': 16, 'link': 10}
on 59: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 10}
on 60: {'channel': 207, 'bx': 1005, 'tdc': 10, 'link': 10}
on 61: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 10}
on 62: {'channel': 211, 'bx': 1005, 'tdc': 15, 'link': 10}
on 63: {'channel': 119, 'bx': 1005, 'tdc': 15, 'link': 10}
on 64: {'channel': 212, 'bx': 1005, 'tdc': 14, 'link': 10}
on 65: {'channel': 83, 'bx': 1005, 'tdc': 12, 'link': 10}
on 66: {'channel': 216, 'bx': 1005, 'tdc': 15, 'link': 10}
on 67: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 10}
on 68: {'channel': 99, 'bx': 1005, 'tdc': 13, 'link': 11}
on 69: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 11}
on 70: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 11}
on 71: {'channel': 227, 'bx': 1005, 'tdc': 16, 'link': 11}
on 72: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 11}
on 73: {'channel': 203, 'bx': 1005, 'tdc': 16, 'link': 11}
on 74: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 11}
on 75: {'channel': 207, 'bx': 1005, 'tdc': 10, 'link': 11}
on 76: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 11}
on 77: {'channel': 211, 'bx': 1005, 'tdc': 15, 'link': 11}
on 78: {'channel': 119, 'bx': 1005, 'tdc': 15, 'link': 11}
on 79: {'channel': 212, 'bx': 1005, 'tdc': 14, 'link': 11}
on 80: {'channel': 83, 'bx': 1005, 'tdc': 12, 'link': 11}
on 81: {'channel': 216, 'bx': 1005, 'tdc': 15, 'link': 11}
on 82: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 11}
on 83: {'channel': 220, 'bx': 1005, 'tdc': 14, 'link': 11}
on 84: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 9}
on 85: {'channel': 220, 'bx': 1005, 'tdc': 14, 'link': 9}
on 86: {'channel': 220, 'bx': 1005, 'tdc': 14, 'link': 10}
on 87: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 10}
on 88: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 10}
on 89: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 10}
on 90: {'channel': 227, 'bx': 1005, 'tdc': 16, 'link': 10}
on 91: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 10}
on 92: {'channel': 203, 'bx': 1005, 'tdc': 15, 'link': 10}
on 93: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 10}
on 94: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 10}
on 95: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 10}
on 96: {'channel': 211, 'bx': 1005, 'tdc': 17, 'link': 10}
on 97: {'channel': 119, 'bx': 1005, 'tdc': 15, 'link': 10}
on 98: {'channel': 215, 'bx': 1005, 'tdc': 14, 'link': 10}
on 99: {'channel': 83, 'bx': 1005, 'tdc': 12, 'link': 10}
on 100: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 10}
on 101: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 10}
on 102: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 11}
on 103: {'channel': 224, 'bx': 1005, 'tdc': 12, 'link': 11}
on 104: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 11}
on 105: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 11}
on 106: {'channel': 227, 'bx': 1005, 'tdc': 16, 'link': 11}
on 107: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 11}
on 108: {'channel': 203, 'bx': 1005, 'tdc': 15, 'link': 11}
on 109: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 11}
on 110: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 11}
on 111: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 11}
on 112: {'channel': 211, 'bx': 1005, 'tdc': 17, 'link': 11}
on 113: {'channel': 119, 'bx': 1005, 'tdc': 15, 'link': 11}
on 114: {'channel': 215, 'bx': 1005, 'tdc': 14, 'link': 11}
on 115: {'channel': 83, 'bx': 1005, 'tdc': 12, 'link': 11}
